peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
high school or equivalent,24,-1.435541,0,20-29,0-3,no,yes,14.88
college,23,.44733995,3,20-29,0-3,no,yes,15.7
high school or equivalent,27,-1.2740132,1,20-29,0-3,no,no,11.23
college,35,1.2480807,5,30-39,4-7,yes,yes,24.91
college,37,.28234833,4,30-39,4-7,no,yes,16.88
graduate,34,-3.3739259,2,30-39,0-3,yes,yes,22.72
high school or equivalent,54,.18243438,5,50-59,4-7,yes,yes,32.37
college,21,-.021329209,1,20-29,0-3,yes,yes,18.77
graduate,25,1.1201631,5,20-29,4-7,yes,yes,19.96
college,24,.14475973,3,20-29,0-3,no,yes,17.57
high school or equivalent,24,-2.0801015,0,20-29,0-3,no,yes,20.4
high school or equivalent,30,1.3509593,4,30-39,4-7,no,yes,18.01
college,26,-.64764977,2,20-29,0-3,no,yes,15.85
high school or equivalent,37,.56903309,4,30-39,4-7,no,yes,16.16
high school or equivalent,56,-1.8530796,3,50-59,0-3,no,yes,19.27
college,25,-.21049838,3,20-29,0-3,no,no,14.49
high school or equivalent,24,-.80201191,1,20-29,0-3,no,yes,18.38
high school or equivalent,34,3.0264239,6,30-39,4-7,yes,yes,30.22
college,27,-1.0946784,2,20-29,0-3,no,yes,15.6
graduate,23,3.4069915,3,20-29,0-3,no,yes,13.26
high school or equivalent,36,2.0441821,5,30-39,4-7,no,yes,17.23
college,26,.57512832,4,20-29,4-7,no,yes,18.08
high school or equivalent,48,3.5356688,8,40-49,8 up,no,yes,17.18
graduate,68,-1.2275379,7,60 up,4-7,yes,yes,32.42
high school or equivalent,50,.82966125,5,50-59,4-7,no,yes,16.75
high school or equivalent,59,-1.4516824,4,50-59,4-7,no,yes,16.48
high school or equivalent,26,-.26516977,2,20-29,0-3,no,yes,18
high school or equivalent,27,-.14790282,2,20-29,0-3,no,yes,12.54
graduate,50,-2.3315818,4,50-59,4-7,no,no,18.67
graduate,37,-3.8551958,2,30-39,0-3,no,no,12.45
graduate,43,1.0313106,7,40-49,4-7,no,yes,16.27
high school or equivalent,36,-1.1973661,2,30-39,0-3,no,yes,17.06
high school or equivalent,25,.71368879,3,20-29,0-3,no,no,14.95
college,56,.78427333,7,50-59,4-7,no,yes,16.19
college,51,-2.0512519,4,50-59,4-7,no,yes,16.76
graduate,25,-2.7320237,2,20-29,0-3,yes,yes,21.11
high school or equivalent,53,-1.386283,3,50-59,0-3,no,yes,20.82
high school or equivalent,41,.048946247,4,40-49,4-7,no,yes,21.93
college,48,-2.1799309,3,40-49,0-3,no,no,17.32
college,28,-1.9862231,1,20-29,0-3,yes,yes,20.87
high school or equivalent,41,.35798064,4,40-49,4-7,no,yes,13.81
high school or equivalent,24,-1.9968121,0,20-29,0-3,no,no,10.92
graduate,24,-3.7064128,1,20-29,0-3,yes,yes,20.45
doctorate,45,-.61080521,6,40-49,4-7,yes,yes,25.81
graduate,54,-.80036491,6,50-59,4-7,yes,yes,27.52
high school or equivalent,36,-.79768533,2,30-39,0-3,no,yes,13.05
high school or equivalent,34,-2.0683582,1,30-39,0-3,yes,yes,24.25
high school or equivalent,51,1.0302876,6,50-59,4-7,no,yes,18.69
high school or equivalent,45,.29665825,4,40-49,4-7,no,yes,18.07
high school or equivalent,21,4.2517414,1,20-29,0-3,no,yes,15.31
graduate,43,1.4986988,7,40-49,4-7,no,yes,17.34
graduate,33,-2.4794097,2,30-39,0-3,yes,yes,21.73
college,27,1.8472803,5,20-29,4-7,yes,yes,23.93
high school or equivalent,40,-.36931249,3,40-49,0-3,yes,yes,22.33
college,42,2.2370305,7,40-49,4-7,no,yes,18.49
college,55,-1.0018851,5,50-59,4-7,no,yes,19.51
college,51,-1.6609955,4,50-59,4-7,no,yes,17.78
high school or equivalent,42,-2.7026372,1,40-49,0-3,no,no,20.19
graduate,37,2.2859862,7,30-39,4-7,no,yes,20.96
college,51,-.31905961,5,50-59,4-7,no,yes,25.84
high school or equivalent,29,-1.4312496,1,20-29,0-3,no,no,14.31
graduate,26,2.71141,6,20-29,4-7,yes,yes,17.45
high school or equivalent,46,.57244569,5,40-49,4-7,no,yes,16.55
college,26,1.4074101,5,20-29,4-7,no,yes,13.83
high school or equivalent,55,-1.0576841,4,50-59,4-7,no,no,20.46
graduate,27,-.025629539,4,20-29,4-7,no,no,11.35
high school or equivalent,34,1.4302198,4,30-39,4-7,no,yes,17.11
college,37,3.4836662,8,30-39,8 up,yes,yes,21.41
college,36,-2.92781,1,30-39,0-3,yes,yes,24.27
college,28,3.7401664,7,20-29,4-7,yes,yes,24.63
high school or equivalent,24,-2.5887959,0,20-29,0-3,yes,no,17.62
high school or equivalent,50,.83615392,5,50-59,4-7,no,no,16.08
college,39,.87446702,5,30-39,4-7,no,yes,15.52
high school or equivalent,21,.74207777,1,20-29,0-3,no,yes,18.77
graduate,22,.94630122,2,20-29,0-3,yes,yes,18.4
graduate,27,-1.0581161,3,20-29,0-3,no,yes,13.7
doctorate,44,-.19563134,7,40-49,4-7,yes,yes,31.44
college,56,-.3237516,6,50-59,4-7,yes,yes,30.98
high school or equivalent,43,-2.9946597,1,40-49,0-3,no,no,19.51
graduate,68,1.0031888,9,60 up,8 up,yes,no,32.13
graduate,40,1.4899994,7,40-49,4-7,no,yes,15.24
college,29,-2.2429824,1,20-29,0-3,no,yes,15.37
high school or equivalent,70,-.84608352,6,60 up,4-7,no,yes,22.55
college,46,-.30900866,5,40-49,4-7,no,yes,19.61
high school or equivalent,23,-1.0601747,1,20-29,0-3,no,no,14.88
college,39,.026443226,4,30-39,4-7,no,no,12.72
college,40,-3.5089931,1,40-49,0-3,no,no,15.44
high school or equivalent,58,-1.3035955,4,50-59,4-7,yes,yes,32.29
college,69,1.9675533,9,60 up,8 up,yes,yes,31.32
graduate,38,.31280011,6,30-39,4-7,no,yes,15.46
college,23,-1.6722062,1,20-29,0-3,no,no,18.26
college,67,-.76448041,6,60 up,4-7,no,no,18.46
high school or equivalent,27,-1.7258906,0,20-29,0-3,yes,yes,21.31
high school or equivalent,45,.22213431,4,40-49,4-7,no,yes,21.45
high school or equivalent,23,-2.290998,0,20-29,0-3,yes,yes,18.65
college,24,2.3754411,4,20-29,4-7,no,yes,17.04
high school or equivalent,43,2.9329808,7,40-49,4-7,yes,yes,26.28
high school or equivalent,44,-1.2480246,3,40-49,0-3,no,yes,20.06
college,22,-2.03333,1,20-29,0-3,yes,yes,20.83
college,41,2.044642,7,40-49,4-7,no,yes,21.14
college,24,-.42426202,2,20-29,0-3,yes,no,17.93
high school or equivalent,64,-.51818466,5,60 up,4-7,no,no,15.07
college,36,1.0651841,5,30-39,4-7,yes,yes,21.38
college,65,-.16772296,7,60 up,4-7,no,no,20.84
graduate,52,.079236798,7,50-59,4-7,yes,yes,29.58
high school or equivalent,74,-1.2195921,6,60 up,4-7,yes,no,29.76
college,56,1.0454452,7,50-59,4-7,yes,yes,29.8
graduate,64,-2.7415826,5,60 up,4-7,yes,no,28.86
college,25,-1.130443,2,20-29,0-3,yes,yes,21.9
graduate,32,.76407158,5,30-39,4-7,yes,yes,26.76
high school or equivalent,50,-2.4308093,2,50-59,0-3,no,yes,17.9
college,50,-2.3188896,3,50-59,0-3,yes,yes,23.88
college,43,-.25312322,5,40-49,4-7,no,yes,18
high school or equivalent,69,-1.4118218,5,60 up,4-7,no,yes,20.33
college,22,2.3529313,2,20-29,0-3,no,no,14.54
high school or equivalent,22,1.691836,2,20-29,0-3,no,yes,17.24
high school or equivalent,53,.67334342,5,50-59,4-7,no,yes,18.72
graduate,33,-.19355004,5,30-39,4-7,yes,yes,25.34
college,28,1.7844806,5,20-29,4-7,no,yes,13.84
college,40,-4.2225938,1,40-49,0-3,no,no,15.95
high school or equivalent,58,.44787532,6,50-59,4-7,no,yes,19.32
college,28,1.8297448,5,20-29,4-7,yes,yes,18.03
college,72,-1.0709015,7,60 up,4-7,yes,yes,26.15
college,60,1.4806509,8,60 up,8 up,no,yes,22.51
college,42,.11282755,5,40-49,4-7,yes,yes,26.56
college,37,.73786652,5,30-39,4-7,no,no,13.84
high school or equivalent,57,.020747734,5,50-59,4-7,no,yes,22.4
high school or equivalent,37,-1.0210726,2,30-39,0-3,no,yes,17.91
high school or equivalent,45,-2.712719,1,40-49,0-3,no,yes,19.46
high school or equivalent,67,.82895005,7,60 up,4-7,no,yes,22.99
high school or equivalent,48,.083144546,4,40-49,4-7,no,yes,15.51
college,21,.65045869,1,20-29,0-3,yes,yes,20.24
high school or equivalent,22,1.1251551,2,20-29,0-3,no,yes,17.67
college,33,-1.305114,2,30-39,0-3,yes,yes,24.2
college,21,3.2211628,1,20-29,0-3,no,no,12.18
high school or equivalent,35,-2.6514847,0,30-39,0-3,no,yes,15.05
high school or equivalent,52,-1.4154177,3,50-59,0-3,yes,yes,25.6
graduate,39,1.7815903,7,30-39,4-7,yes,yes,28.87
high school or equivalent,30,.73912096,3,30-39,0-3,no,yes,14.04
high school or equivalent,63,.55811673,6,60 up,4-7,yes,yes,28.96
college,22,-1.4702823,1,20-29,0-3,yes,no,13.21
high school or equivalent,55,.56102425,6,50-59,4-7,no,yes,20.93
college,34,2.2991502,6,30-39,4-7,yes,yes,23.84
college,55,.59119517,7,50-59,4-7,no,yes,21.38
college,40,.22068359,5,40-49,4-7,no,yes,20.14
college,63,-5.4077945,1,60 up,0-3,no,no,15.96
graduate,45,-2.8262167,3,40-49,0-3,yes,yes,25.74
high school or equivalent,71,-.059136331,7,60 up,4-7,no,yes,19.86
college,36,-3.8403037,1,30-39,0-3,yes,yes,23.87
high school or equivalent,20,2.7679758,0,20-29,0-3,yes,yes,18.5
high school or equivalent,52,-.57637757,4,50-59,4-7,no,no,17.4
college,58,.61407846,7,50-59,4-7,yes,yes,29.59
college,26,5.1910048,6,20-29,4-7,no,yes,14.57
doctorate,73,2.3716981,12,60 up,8 up,no,no,24.9
college,34,-.99124998,3,30-39,0-3,no,yes,18.03
high school or equivalent,37,-2.1454227,1,30-39,0-3,no,yes,19.77
high school or equivalent,42,-.46360567,3,40-49,0-3,no,yes,17.33
college,26,-.29529184,3,20-29,0-3,no,yes,14.92
college,36,.18319994,4,30-39,4-7,no,yes,18.18
graduate,42,.66684175,6,40-49,4-7,yes,yes,27.05
high school or equivalent,51,-.65516758,4,50-59,4-7,no,yes,20.68
high school or equivalent,24,.77737093,3,20-29,0-3,no,no,13.14
graduate,69,-.26766959,8,60 up,8 up,yes,yes,33.01
high school or equivalent,32,.97997415,4,30-39,4-7,yes,yes,25.81
college,47,-.45707831,5,40-49,4-7,yes,yes,29.96
graduate,26,-2.18894,2,20-29,0-3,yes,yes,21.94
high school or equivalent,57,-1.0229235,4,50-59,4-7,no,yes,18
college,41,1.6901538,6,40-49,4-7,no,yes,17.74
high school or equivalent,32,2.814039,6,30-39,4-7,no,yes,18.25
college,67,1.6930867,9,60 up,8 up,yes,yes,32.25
college,65,3.1371996,10,60 up,8 up,yes,no,35.06
high school or equivalent,44,-.32635584,4,40-49,4-7,no,yes,20.86
high school or equivalent,38,-.66101164,3,30-39,0-3,no,yes,17.67
high school or equivalent,55,-1.1991324,4,50-59,4-7,no,yes,16.97
high school or equivalent,66,-4.2244225,2,60 up,0-3,no,yes,20.75
graduate,20,-1.2706252,0,20-29,0-3,no,no,13.97
college,28,-2.9290087,1,20-29,0-3,yes,no,16.7
high school or equivalent,38,-.68635154,3,30-39,0-3,yes,yes,25.24
college,22,1.7755491,2,20-29,0-3,no,yes,15.48
high school or equivalent,40,-.039567664,3,40-49,0-3,no,yes,19.35
graduate,56,2.60747,10,50-59,8 up,no,yes,23.09
high school or equivalent,44,.47986946,4,40-49,4-7,no,yes,16.15
college,23,1.0724162,3,20-29,0-3,no,no,15.33
high school or equivalent,58,-2.7852781,3,50-59,0-3,yes,yes,28.75
high school or equivalent,22,-1.4668181,0,20-29,0-3,no,no,15.84
high school or equivalent,62,-1.3383299,4,60 up,4-7,no,no,19.61
high school or equivalent,36,.6963169,4,30-39,4-7,no,yes,19.2
high school or equivalent,39,.61448413,4,30-39,4-7,no,yes,14.8
college,48,1.4042583,7,40-49,4-7,yes,yes,28.38
high school or equivalent,24,-1.1181642,1,20-29,0-3,yes,yes,19.53
college,28,1.1205797,4,20-29,4-7,no,yes,16.64
college,35,-1.1154554,3,30-39,0-3,no,no,15.47
college,42,-2.9733574,2,40-49,0-3,no,no,16.66
college,64,2.5543208,9,60 up,8 up,no,yes,17.48
graduate,45,.46244526,6,40-49,4-7,yes,yes,28.23
college,26,-5.2437243,0,20-29,0-3,yes,yes,17.31
graduate,71,.99705613,10,60 up,8 up,yes,no,30.39
high school or equivalent,24,.5527311,2,20-29,0-3,no,no,16.68
high school or equivalent,30,-.38429779,2,30-39,0-3,no,yes,17.46
graduate,45,.69321334,7,40-49,4-7,yes,yes,29.07
college,56,.86388522,7,50-59,4-7,no,yes,16.14
high school or equivalent,65,.28733015,6,60 up,4-7,no,yes,21.33
graduate,74,.67309976,10,60 up,8 up,yes,yes,31.88
high school or equivalent,56,-.60645342,4,50-59,4-7,yes,yes,32.49
high school or equivalent,45,-1.5045025,2,40-49,0-3,yes,yes,28.85
high school or equivalent,44,.15801133,4,40-49,4-7,no,yes,19.37
college,45,-1.3143258,4,40-49,4-7,yes,yes,25.7
graduate,71,4.984591,14,60 up,8 up,no,yes,20.86
high school or equivalent,50,4.286469,9,50-59,8 up,no,yes,17.4
high school or equivalent,63,.68771869,6,60 up,4-7,yes,yes,31.53
college,34,2.8222384,7,30-39,4-7,no,yes,15.26
high school or equivalent,24,1.0580192,3,20-29,0-3,no,no,14.72
high school or equivalent,64,.68193132,7,60 up,4-7,no,no,20.01
college,23,-.48763981,2,20-29,0-3,yes,yes,18.58
high school or equivalent,65,1.5127981,8,60 up,8 up,no,yes,23.39
college,48,.68368298,6,40-49,4-7,no,yes,17.48
graduate,43,-1.0750092,5,40-49,4-7,yes,yes,22.85
high school or equivalent,31,2.4035194,5,30-39,4-7,no,yes,16.23
college,25,-1.8651515,1,20-29,0-3,yes,yes,20.91
high school or equivalent,48,3.7980759,8,40-49,8 up,no,yes,23.32
college,60,-2.7655842,4,60 up,4-7,yes,yes,25
college,63,.7706145,8,60 up,8 up,no,no,20.74
graduate,38,-.61933762,5,30-39,4-7,yes,yes,21.26
high school or equivalent,66,4.058145,10,60 up,8 up,no,no,23.75
high school or equivalent,23,-1.5129001,0,20-29,0-3,no,yes,14.06
high school or equivalent,38,-2.8967974,0,30-39,0-3,no,yes,15.92
college,53,-.82099432,5,50-59,4-7,yes,yes,32.25
high school or equivalent,27,.66086793,3,20-29,0-3,yes,yes,19.28
high school or equivalent,24,.55232626,2,20-29,0-3,no,no,14.08
graduate,24,1.9710292,4,20-29,4-7,yes,yes,15.02
high school or equivalent,42,-3.6165426,0,40-49,0-3,yes,yes,26.58
college,49,.34008425,6,40-49,4-7,no,yes,23.33
college,53,1.1894367,7,50-59,4-7,no,yes,20.44
college,54,-1.1840199,5,50-59,4-7,no,yes,17.41
college,46,.88663286,6,40-49,4-7,yes,yes,27.13
college,43,.62477267,5,40-49,4-7,no,yes,17.7
college,46,-.66251361,4,40-49,4-7,yes,yes,26.12
college,70,-2.9129593,5,60 up,4-7,yes,no,27.06
college,40,-.97002137,4,40-49,4-7,yes,yes,24.69
college,55,2.0185299,8,50-59,8 up,yes,yes,30.81
college,30,-.22934087,3,30-39,0-3,no,yes,15.33
college,29,-1.2036676,2,20-29,0-3,no,yes,17.31
college,72,1.2857931,9,60 up,8 up,no,no,18.96
high school or equivalent,40,1.0231405,5,40-49,4-7,yes,yes,26.29
college,29,.87349498,4,20-29,4-7,yes,yes,24.15
high school or equivalent,37,.86463249,4,30-39,4-7,no,yes,19.89
doctorate,50,-3.6600935,4,50-59,4-7,yes,yes,24.64
college,43,-1.8794063,3,40-49,0-3,yes,yes,25.18
college,35,-3.0438888,1,30-39,0-3,no,yes,12.28
graduate,25,1.7597935,5,20-29,4-7,no,yes,16.32
high school or equivalent,27,.75527072,3,20-29,0-3,no,yes,16.8
high school or equivalent,37,-3.955065,0,30-39,0-3,no,yes,17.06
college,45,2.0421462,7,40-49,4-7,no,no,19.51
graduate,36,-1.13279,4,30-39,4-7,yes,yes,23.5
college,43,1.4129957,6,40-49,4-7,yes,yes,26.84
high school or equivalent,34,-3.0587308,0,30-39,0-3,yes,yes,24.16
college,46,3.0789988,8,40-49,8 up,yes,yes,35.32
high school or equivalent,43,-2.5908422,1,40-49,0-3,no,yes,17.15
graduate,69,-5.1107097,3,60 up,0-3,yes,no,21.5
college,72,-3.7344472,4,60 up,4-7,no,no,16.14
college,29,-2.7009015,1,20-29,0-3,no,no,16.18
college,35,-.70236582,3,30-39,0-3,no,yes,17.05
high school or equivalent,47,-1.6312132,3,40-49,0-3,no,yes,17.93
high school or equivalent,71,-.66137725,6,60 up,4-7,no,yes,25.15
college,27,-1.145831,2,20-29,0-3,no,yes,15.64
high school or equivalent,33,.10418403,3,30-39,0-3,no,yes,16.65
high school or equivalent,43,-2.3505313,1,40-49,0-3,no,no,14.38
high school or equivalent,20,-1.5440732,0,20-29,0-3,no,no,10.91
college,59,2.6461484,9,50-59,8 up,no,yes,20.42
graduate,61,-2.6252174,5,60 up,4-7,yes,yes,32.7
graduate,20,-.59913152,0,20-29,0-3,yes,yes,16.44
high school or equivalent,36,.61946052,4,30-39,4-7,no,yes,16.05
high school or equivalent,64,-2.3926537,4,60 up,4-7,no,no,17.08
college,70,-1.5130986,6,60 up,4-7,yes,no,30.19
college,60,-.96957868,6,60 up,4-7,yes,yes,28.65
high school or equivalent,42,.72192293,4,40-49,4-7,no,yes,17.53
high school or equivalent,50,-5.2391062,0,50-59,0-3,no,no,16.64
graduate,39,-2.5020096,3,30-39,0-3,no,yes,16.09
high school or equivalent,22,1.220965,2,20-29,0-3,no,yes,15.99
high school or equivalent,34,.18897961,3,30-39,0-3,no,yes,15.56
high school or equivalent,31,1.1698841,4,30-39,4-7,no,yes,16.1
college,47,-.6663152,5,40-49,4-7,yes,yes,28.92
college,24,-3.7502913,0,20-29,0-3,yes,yes,22.88
college,55,.13584235,6,50-59,4-7,yes,yes,29.51
high school or equivalent,46,-2.4976177,2,40-49,0-3,no,yes,17.16
graduate,29,-1.1487105,3,20-29,0-3,no,no,18.1
graduate,65,3.1181812,11,60 up,8 up,yes,yes,33.51
high school or equivalent,44,-.9106434,3,40-49,0-3,no,yes,15.75
graduate,24,1.6855785,4,20-29,4-7,yes,yes,16.12
college,53,-3.2803137,3,50-59,0-3,yes,yes,26.26
high school or equivalent,49,.42419869,5,40-49,4-7,no,yes,20.35
high school or equivalent,39,2.2184486,6,30-39,4-7,no,yes,20.45
college,56,.49179643,7,50-59,4-7,yes,yes,30.02
college,54,-2.1571553,4,50-59,4-7,yes,yes,30.07
high school or equivalent,55,-.030869948,5,50-59,4-7,no,yes,21.68
college,40,2.3565779,7,40-49,4-7,no,yes,20.53
college,39,-1.6428337,3,30-39,0-3,yes,yes,23.11
graduate,22,.080970168,2,20-29,0-3,yes,no,17.5
graduate,26,2.4231813,6,20-29,4-7,yes,yes,21.56
high school or equivalent,57,-.71290153,4,50-59,4-7,yes,yes,29.24
high school or equivalent,36,-.47489041,3,30-39,0-3,yes,yes,20.52
graduate,42,-1.4657632,4,40-49,4-7,no,yes,20.55
college,29,-.46618089,3,20-29,0-3,no,yes,13.85
high school or equivalent,50,3.6710749,8,50-59,8 up,no,yes,22.07
college,46,.5102638,6,40-49,4-7,yes,yes,27.08
high school or equivalent,61,2.0094562,8,60 up,8 up,no,yes,19.05
graduate,38,-2.1693485,3,30-39,0-3,yes,yes,23.05
high school or equivalent,33,2.0029993,5,30-39,4-7,yes,yes,27.24
high school or equivalent,56,-.44339687,5,50-59,4-7,no,no,19.26
doctorate,59,-.27389285,8,50-59,8 up,yes,yes,30.26
high school or equivalent,45,.8842665,5,40-49,4-7,no,yes,24.08
graduate,44,-1.7161285,4,40-49,4-7,yes,yes,24.46
high school or equivalent,24,1.9811255,4,20-29,4-7,yes,yes,20.4
graduate,31,-2.525593,2,30-39,0-3,yes,yes,21.51
high school or equivalent,46,-3.0293801,1,40-49,0-3,no,no,15.2
college,39,3.2004147,8,30-39,8 up,yes,yes,23.99
high school or equivalent,44,.35273501,4,40-49,4-7,no,yes,20.34
high school or equivalent,48,-.78804386,4,40-49,4-7,no,yes,15.01
high school or equivalent,41,1.8537978,5,40-49,4-7,no,yes,20.7
high school or equivalent,50,-.10666385,4,50-59,4-7,no,yes,18.4
high school or equivalent,72,-2.3543053,4,60 up,4-7,no,no,21.67
college,59,.87252557,7,50-59,4-7,yes,yes,30.08
high school or equivalent,21,1.5907203,1,20-29,0-3,no,no,9.85
graduate,36,2.1002498,7,30-39,4-7,yes,yes,24.74
high school or equivalent,56,.33066699,5,50-59,4-7,no,yes,14
college,72,3.387598,11,60 up,8 up,no,no,22.89
college,73,2.0127304,10,60 up,8 up,yes,yes,29.08
high school or equivalent,40,.071970619,4,40-49,4-7,yes,yes,28.44
graduate,20,-2.6043718,0,20-29,0-3,yes,yes,12.24
college,35,-.8364287,3,30-39,0-3,yes,yes,21.15
high school or equivalent,53,.37773976,5,50-59,4-7,no,yes,20.1
high school or equivalent,38,.35878623,4,30-39,4-7,no,yes,18.83
graduate,50,.35895276,7,50-59,4-7,yes,yes,21.25
college,24,-1.5048084,1,20-29,0-3,yes,yes,17.78
college,46,-.33785909,5,40-49,4-7,yes,yes,29.07
high school or equivalent,48,.76557148,5,40-49,4-7,no,yes,16.75
college,51,.97673178,7,50-59,4-7,yes,yes,29.17
college,52,-.60302019,5,50-59,4-7,no,no,18.66
high school or equivalent,34,-1.3396122,2,30-39,0-3,no,yes,16.17
graduate,60,.82916278,8,60 up,8 up,yes,yes,29.4
high school or equivalent,56,5.0079641,10,50-59,8 up,no,yes,21.29
college,33,1.6142335,5,30-39,4-7,no,yes,16.58
graduate,61,1.479372,9,60 up,8 up,no,yes,21.39
college,42,1.9477737,7,40-49,4-7,yes,yes,28.72
college,50,.98413914,6,50-59,4-7,yes,yes,29.15
college,22,-.67567593,2,20-29,0-3,no,yes,15.83
high school or equivalent,41,.22976902,4,40-49,4-7,no,yes,18.38
college,53,.90628362,7,50-59,4-7,no,yes,17
college,39,-.39515194,4,30-39,4-7,no,yes,13.63
high school or equivalent,42,-3.3136816,0,40-49,0-3,no,yes,17.27
graduate,59,-1.9471657,5,50-59,4-7,no,yes,20.96
graduate,51,-2.2058063,4,50-59,4-7,yes,yes,27.77
high school or equivalent,25,-1.9672551,0,20-29,0-3,yes,yes,23.48
college,40,1.5158277,6,40-49,4-7,no,yes,16.95
high school or equivalent,23,2.3424442,3,20-29,0-3,yes,yes,19.83
high school or equivalent,36,1.8841606,5,30-39,4-7,no,yes,18.8
college,20,-2.099143,0,20-29,0-3,yes,no,14.63
high school or equivalent,24,2.2178483,4,20-29,4-7,no,yes,18.34
high school or equivalent,24,-2.9592712,0,20-29,0-3,no,no,15.18
college,29,3.0924318,6,20-29,4-7,no,yes,15.83
college,20,.18257295,0,20-29,0-3,yes,yes,15.68
college,41,-2.2074242,2,40-49,0-3,no,yes,16.96
college,27,-3.8389971,0,20-29,0-3,no,no,10.53
college,59,.28801677,7,50-59,4-7,no,no,20.91
high school or equivalent,24,-1.5830578,0,20-29,0-3,yes,yes,20.48
high school or equivalent,36,.86094707,4,30-39,4-7,no,yes,18.83
college,27,-.65369731,3,20-29,0-3,no,no,17.69
college,21,-1.5038424,1,20-29,0-3,yes,no,16.21
college,20,.8781901,0,20-29,0-3,yes,yes,10.88
college,24,-1.2459238,2,20-29,0-3,yes,yes,14.98
college,28,-.49767169,3,20-29,0-3,no,yes,18.43
high school or equivalent,33,1.5344726,4,30-39,4-7,no,yes,22.08
college,51,-3.1113183,2,50-59,0-3,yes,yes,26.71
college,60,-2.1909196,4,60 up,4-7,yes,yes,28.75
college,70,-2.7510667,5,60 up,4-7,no,yes,18.93
college,42,-1.0037614,4,40-49,4-7,yes,yes,27.42
high school or equivalent,63,.60095137,6,60 up,4-7,no,yes,18.62
college,67,.050742034,7,60 up,4-7,no,no,18.11
college,25,1.5490487,5,20-29,4-7,yes,yes,21.77
graduate,35,-2.0360551,3,30-39,0-3,yes,yes,25.06
high school or equivalent,65,-2.6832802,3,60 up,0-3,no,no,20.05
high school or equivalent,29,-1.5382038,1,20-29,0-3,no,no,15.61
college,25,.134031,3,20-29,0-3,yes,yes,22.6
college,44,.25248301,5,40-49,4-7,yes,yes,31.14
high school or equivalent,27,-.85751086,1,20-29,0-3,no,yes,10.95
doctorate,33,2.1542203,8,30-39,8 up,yes,yes,27.64
graduate,53,-1.9755769,5,50-59,4-7,yes,no,22.54
high school or equivalent,30,.50115716,3,30-39,0-3,no,yes,18.65
graduate,49,.3377122,7,40-49,4-7,yes,yes,27.08
high school or equivalent,49,-5.9234276,0,40-49,0-3,no,no,15.31
high school or equivalent,26,-1.3497266,1,20-29,0-3,no,no,12.13
high school or equivalent,24,1.2616825,3,20-29,0-3,no,no,15.87
college,62,-1.8805767,5,60 up,4-7,yes,yes,31.15
college,28,.87657237,4,20-29,4-7,no,yes,12.55
